"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"LDVHNUS","201913","261451.132","5","Light-Duty Vehicles, All Fuels","Thousands of Registered Vehicles"
"LDVHNUS","202013","259976.043","5","Light-Duty Vehicles, All Fuels","Thousands of Registered Vehicles"
"LDVHNUS","202113","263152.322","5","Light-Duty Vehicles, All Fuels","Thousands of Registered Vehicles"
"LDVHNUS","202213","263764.191","5","Light-Duty Vehicles, All Fuels","Thousands of Registered Vehicles"
"ELVHSUS","201213","0.040696","6","Electric Vehicle Share of Total Light-Duty Vehicles","Percent"
"ELVHSUS","201313","0.082019","6","Electric Vehicle Share of Total Light-Duty Vehicles","Percent"
"ELVHSUS","201413","0.11886","6","Electric Vehicle Share of Total Light-Duty Vehicles","Percent"
"ELVHSUS","201513","0.157274","6","Electric Vehicle Share of Total Light-Duty Vehicles","Percent"
"ELVHSUS","201613","0.203674","6","Electric Vehicle Share of Total Light-Duty Vehicles","Percent"
"ELVHSUS","201713","0.280567","6","Electric Vehicle Share of Total Light-Duty Vehicles","Percent"
"ELVHSUS","201813","0.410595","6","Electric Vehicle Share of Total Light-Duty Vehicles","Percent"
"ELVHSUS","201913","0.503691","6","Electric Vehicle Share of Total Light-Duty Vehicles","Percent"
"ELVHSUS","202013","0.610237","6","Electric Vehicle Share of Total Light-Duty Vehicles","Percent"
"ELVHSUS","202113","0.834829","6","Electric Vehicle Share of Total Light-Duty Vehicles","Percent"
"ELVHSUS","202213","1.157276","6","Electric Vehicle Share of Total Light-Duty Vehicles","Percent"
